column_name,data_type,description,classification,keep,rationale
id,VARCHAR,A unique LC assigned ID for the loan listing.,Admin,No,
member_id,VARCHAR,A unique LC assigned Id for the borrower member.,Admin,No,
loan_amnt,DOUBLE,"The listed amount of the loan applied for by the borrower. If at some point in time, the credit department reduces the loan amount, then it will be reflected in this value.",Origination-time,Yes,
funded_amnt,DOUBLE,The total amount committed to that loan at that point in time.,Origination-time,No,Redundant: Adds collinearity with loan_amnt
funded_amnt_inv,DOUBLE,The total amount committed by investors for that loan at that point in time.,Admin,No,
term,VARCHAR,The number of payments on the loan. Values are in months and can be either 36 or 60.,Origination-time,No,Constant: By cohort construction
int_rate,DOUBLE,Interest Rate on the loan,Ambiguous,Model B only,
installment,DOUBLE,The monthly payment owed by the borrower if the loan originates.,Origination-time,Yes,
grade,VARCHAR,LC assigned loan grade,Ambiguous,Model B only,
sub_grade,VARCHAR,LC assigned loan subgrade,Ambiguous,Model B only,
emp_title,VARCHAR,The job title supplied by the Borrower when applying for the loan.*,Origination-time,No,High-cardinality free text
emp_length,VARCHAR,Employment length in years. Possible values are between 0 and 10 where 0 means less than one year and 10 means ten or more years.,Origination-time,Yes,
home_ownership,VARCHAR,"The home ownership status provided by the borrower during registration. Our values are: RENT, OWN, MORTGAGE, OTHER.",Origination-time,Yes,
annual_inc,DOUBLE,The self-reported annual income provided by the borrower during registration.,Origination-time,Yes,
verification_status,VARCHAR,"Indicates if income was verified by LC, not verified, or if the income source was verified",Origination-time,Yes,
issue_d,VARCHAR,The month which the loan was funded,Metadata,No,
loan_status,VARCHAR,Current status of the loan,Target,No,
pymnt_plan,VARCHAR,Indicates if a payment plan has been put in place for the loan,Post-origination,No,
url,VARCHAR,URL for the LC page with listing data.,Admin,No,
desc,VARCHAR,Loan description provided by the borrower,Empty,No,
purpose,VARCHAR,A category provided by the borrower for the loan request. ,Origination-time,Yes,borrower-stated loan purpose at application; strongest interpretable categorical
title,VARCHAR,The loan title provided by the borrower,Origination-time,No,High-cardinality free text
zip_code,VARCHAR,The first 3 numbers of the zip code provided by the borrower in the loan application.,Origination-time,No,Redundant: Geography within addr_state
addr_state,VARCHAR,The state provided by the borrower in the loan application,Origination-time,Yes,
dti,DOUBLE,"A ratio calculated using the borrower’s total monthly debt payments on the total debt obligations, excluding mortgage and the requested LC loan, divided by the borrower’s self-reported monthly income.",Origination-time,Yes,Repayment capacity
delinq_2yrs,DOUBLE,The number of 30+ days past-due incidences of delinquency in the borrower's credit file for the past 2 years,Origination-time,Yes,
earliest_cr_line,VARCHAR,The month the borrower's earliest reported credit line was opened,Origination-time,Yes,
fico_range_low,DOUBLE,The lower boundary range the borrower’s FICO at loan origination belongs to.,Origination-time,Yes,
fico_range_high,DOUBLE,The upper boundary range the borrower’s FICO at loan origination belongs to.,Origination-time,Yes,
inq_last_6mths,DOUBLE,The number of inquiries in past 6 months (excluding auto and mortgage inquiries),Origination-time,Yes,
mths_since_last_delinq,DOUBLE,The number of months since the borrower's last delinquency.,Origination-time,Yes,
mths_since_last_record,DOUBLE,The number of months since the last public record.,Origination-time,Yes,
open_acc,DOUBLE,The number of open credit lines in the borrower's credit file.,Origination-time,Yes,
pub_rec,DOUBLE,Number of derogatory public records,Origination-time,Yes,
revol_bal,DOUBLE,Total credit revolving balance,Origination-time,Yes,
revol_util,DOUBLE,"Revolving line utilization rate, or the amount of credit the borrower is using relative to all available revolving credit.",Origination-time,Yes,Credit stress indicator
total_acc,DOUBLE,The total number of credit lines currently in the borrower's credit file,Origination-time,Yes,
initial_list_status,VARCHAR,"The initial listing status of the loan. Possible values are – W, F",Origination-time,No,"Redundant: Platform (whole listing) mechanics, no borrower-risk content"
out_prncp,DOUBLE,Remaining outstanding principal for total amount funded,Post-origination,No,
out_prncp_inv,DOUBLE,Remaining outstanding principal for portion of total amount funded by investors,Post-origination,No,
total_pymnt,DOUBLE,Payments received to date for total amount funded,Post-origination,No,
total_pymnt_inv,DOUBLE,Payments received to date for portion of total amount funded by investors,Post-origination,No,
total_rec_prncp,DOUBLE,Principal received to date,Post-origination,No,
total_rec_int,DOUBLE,Interest received to date,Post-origination,No,
total_rec_late_fee,DOUBLE,Late fees received to date,Post-origination,No,
recoveries,DOUBLE,post charge off gross recovery,Post-origination,No,
collection_recovery_fee,DOUBLE,post charge off collection fee,Post-origination,No,
last_pymnt_d,VARCHAR,Last month payment was received,Post-origination,No,
last_pymnt_amnt,DOUBLE,Last total payment amount received,Post-origination,No,
next_pymnt_d,VARCHAR,Next scheduled payment date,Post-origination,No,
last_credit_pull_d,VARCHAR,The most recent month LC pulled credit for this loan,Post-origination,No,
last_fico_range_high,DOUBLE,The upper boundary range the borrower’s last FICO pulled belongs to.,Post-origination,No,"FICO not at application, depressed for defaulted loans"
last_fico_range_low,DOUBLE,The lower boundary range the borrower’s last FICO pulled belongs to.,Post-origination,No,"FICO not at application, depressed for defaulted loans"
collections_12_mths_ex_med,DOUBLE,Number of collections in 12 months excluding medical collections,Origination-time,Yes,
mths_since_last_major_derog,DOUBLE,Months since most recent 90-day or worse rating,Origination-time,Yes,
policy_code,DOUBLE,"publicly available policy_code=1
new products not publicly available policy_code=2",Admin,No,
application_type,VARCHAR,Indicates whether the loan is an individual application or a joint application with two co-borrowers,Origination-time,No,Constant: By cohort construction
annual_inc_joint,DOUBLE,The combined self-reported annual income provided by the co-borrowers during registration,Empty,No,field introduced after cohort window
dti_joint,DOUBLE,"A ratio calculated using the co-borrowers' total monthly payments on the total debt obligations, excluding mortgages and the requested LC loan, divided by the co-borrowers' combined self-reported monthly income",Empty,No,field introduced after cohort window
verification_status_joint,VARCHAR,,Empty,No,field introduced after cohort window
acc_now_delinq,DOUBLE,The number of accounts on which the borrower is now delinquent.,Origination-time,Yes,
tot_coll_amt,DOUBLE,Total collection amounts ever owed,Origination-time,Yes,
tot_cur_bal,DOUBLE,Total current balance of all accounts,Origination-time,Yes,
open_acc_6m,DOUBLE,Number of open trades in last 6 months,Empty,No,field introduced after cohort window
open_act_il,DOUBLE,,Empty,No,field introduced after cohort window
open_il_12m,DOUBLE,Number of installment accounts opened in past 12 months,Empty,No,field introduced after cohort window
open_il_24m,DOUBLE,Number of installment accounts opened in past 24 months,Empty,No,field introduced after cohort window
mths_since_rcnt_il,DOUBLE,Months since most recent installment accounts opened,Empty,No,field introduced after cohort window
total_bal_il,DOUBLE,Total current balance of all installment accounts,Empty,No,field introduced after cohort window
il_util,DOUBLE,Ratio of total current balance to high credit/credit limit on all install acct,Empty,No,field introduced after cohort window
open_rv_12m,DOUBLE,Number of revolving trades opened in past 12 months,Empty,No,field introduced after cohort window
open_rv_24m,DOUBLE,Number of revolving trades opened in past 24 months,Empty,No,field introduced after cohort window
max_bal_bc,DOUBLE,Maximum current balance owed on all revolving accounts,Empty,No,field introduced after cohort window
all_util,DOUBLE,Balance to credit limit on all trades,Empty,No,field introduced after cohort window
total_rev_hi_lim,DOUBLE,Total revolving high credit/credit limit,Origination-time,Yes,
inq_fi,DOUBLE,Number of personal finance inquiries,Empty,No,field introduced after cohort window
total_cu_tl,DOUBLE,Number of finance trades,Empty,No,field introduced after cohort window
inq_last_12m,DOUBLE,Number of credit inquiries in past 12 months,Empty,No,field introduced after cohort window
acc_open_past_24mths,DOUBLE,Number of trades opened in past 24 months.,Origination-time,Yes,
avg_cur_bal,DOUBLE,Average current balance of all accounts,Origination-time,Yes,
bc_open_to_buy,DOUBLE,Total open to buy on revolving bankcards.,Origination-time,Yes,
bc_util,DOUBLE,Ratio of total current balance to high credit/credit limit for all bankcard accounts.,Origination-time,Yes,
chargeoff_within_12_mths,DOUBLE,Number of charge-offs within 12 months,Origination-time,Yes,
delinq_amnt,DOUBLE,The past-due amount owed for the accounts on which the borrower is now delinquent.,Origination-time,Yes,
mo_sin_old_il_acct,DOUBLE,Months since oldest bank installment account opened,Origination-time,Yes,
